"","id","timestamp","age","country","gender","instrument_xp","instrument_desc","music_xp","music_desc","genres","excerpt","color_position","color","expression"
"1557",138,"2022-10-21 17:09:24",16,"Brazil","male","yes","Ukulele, mais de dois anos","no","Eu não tenho experiência com criação de música.","Brega, mpb, axé, música cigana, etc....  Todo dia","06","color_3","cyan","Joy"
"1558",140,"2022-10-21 17:16:21",29,"Peru","male","no","I don't play any instrument.","no","I don't have any experience with creating music.","Rock, pop, salsa, reggaeton, cumbias, soundtracksI listen to music every day","06","color_3","yellow","Joy"
"1559",141,"2022-10-21 17:23:36",32,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Pagode, 5 x por semana","06","color_3","blue","Joy"
"1560",142,"2022-10-21 18:11:26",28,"Brazil","female","yes","Tentei aprender violão durante uns 2 meses","no","Eu não tenho experiência com criação de música.","Mpb todos os dias","06","color_3","blue","Joy"
"1561",144,"2022-10-21 18:17:50",65,"Brazil","male","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Rock ","06","color_3","orange","Joy"
"1562",149,"2022-10-21 18:53:43",48,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Rock, MPB, Romântica ","06","color_3","green","Joy"
"1563",155,"2022-10-21 19:47:50",25,"Brazil","male","no","I don't play any instrument.","no","I don't have any experience with creating music.","I listen to music every day, but I vary a lot in terms of genders.Mostly eletronic, rap, rock, brazilian funk and pop","06","color_3","red","Joy"
"1564",18,"2022-10-20 20:49:55",22,"India","male","no","Guitar","yes","For festivals","every genre","01","color_4","green","Tender"
"1565",25,"2022-10-21 07:57:27",22,"Italia","male","yes","Guitar ","no","I don't have any experience with creating music.","Rock, Pop, Metal, Techno, Techno-house, Indie","01","color_4","blue","Tender"
"1566",35,"2022-10-21 11:26:53",38,"India","female","no","I don't play any instrument.","no","I don't have any experience with creating music.","Old BollywoodAlmost Daily","01","color_4","violet","Tender"
"1567",38,"2022-10-21 12:06:13",38,"Brazil","female","yes","Piano. 3 anos","no","Eu não tenho experiência com criação de música.","Mpb, sertanejo, pagode, samba","01","color_4","green","Tender"
"1568",64,"2022-10-21 12:50:19",31,"Brazil","male","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","MBP, Rap,Samba todos os dias ","01","color_4","yellow","Tender"
"1569",86,"2022-10-21 13:32:49",50,"Brazil","female","yes","Eu toquei instrumento de percussão","yes","Eu faço poemas e as vezes coloco melodias neles.so por brincadeira ","Todas que tocam a alma. Do brega ao clássico.","01","color_4","red","Tender"
"1570",88,"2022-10-21 13:37:33",72,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Romântica ","01","color_4","yellow","Tender"
"1571",102,"2022-10-21 14:14:57",64,"Brazil","female","yes","Eu não toco instrumentos.Piano 4 anos Violão 6 meses","no","Eu não tenho experiência com criação de música.","Música clássica, MPB, Rock. ","01","color_4","red","Tender"
"1572",107,"2022-10-21 14:49:33",62,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Todos os tipos.Pagode, samba, sertaneja, MPB, bolero, forró, chorinho, etc...","01","color_4","yellow","Tender"
"1573",111,"2022-10-21 15:01:36",58,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Música popular brasileira, música erudita, músicas religiosas","01","color_4","green","Tender"
"1574",127,"2022-10-21 16:19:09",26,"Uruguay","female","yes","I took drumming classes and learned to played the guitar by myself","no","I don't have any experience with creating music.","Pop, folk, rock, i listen to music all the time","01","color_4","yellow","Tender"
"1575",28,"2022-10-21 08:30:04",24,"Sweden","female","no","I don't play any instrument.","no","I don't have any experience with creating music.","Pop, indie rock, electronic","02","color_4","orange","Tender"
"1576",38,"2022-10-21 12:06:13",38,"Brazil","female","yes","Piano. 3 anos","no","Eu não tenho experiência com criação de música.","Mpb, sertanejo, pagode, samba","02","color_4","orange","Tender"
"1577",69,"2022-10-21 12:54:18",34,"Brazil","male","yes","Piano(7 anos), Violão(20 anos) e Guitarra(15 anos)","no","Eu não tenho experiência com criação de música.","Hardcore, Rock, Rap, HipHop, Sertanejo e Pagode, todos os dias.","02","color_4","violet","Tender"
"1578",86,"2022-10-21 13:32:49",50,"Brazil","female","yes","Eu toquei instrumento de percussão","yes","Eu faço poemas e as vezes coloco melodias neles.so por brincadeira ","Todas que tocam a alma. Do brega ao clássico.","02","color_4","magenta","Tender"
"1579",95,"2022-10-21 13:57:02",61,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Brasileira ","02","color_4","magenta","Tender"
"1580",102,"2022-10-21 14:14:57",64,"Brazil","female","yes","Eu não toco instrumentos.Piano 4 anos Violão 6 meses","no","Eu não tenho experiência com criação de música.","Música clássica, MPB, Rock. ","02","color_4","cyan","Tender"
"1581",105,"2022-10-21 14:42:31",23,"Sweden","male","yes","Piano, 8 years","yes","Electronic genres, mostly Drum ","EDM, IDM, Video game music, hip hop, classical","02","color_4","cyan","Tender"
"1582",111,"2022-10-21 15:01:36",58,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Música popular brasileira, música erudita, músicas religiosas","02","color_4","orange","Tender"
"1583",141,"2022-10-21 17:23:36",32,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Pagode, 5 x por semana","02","color_4","red","Tender"
"1584",28,"2022-10-21 08:30:04",24,"Sweden","female","no","I don't play any instrument.","no","I don't have any experience with creating music.","Pop, indie rock, electronic","03","color_4","red","Sorrow"
"1585",35,"2022-10-21 11:26:53",38,"India","female","no","I don't play any instrument.","no","I don't have any experience with creating music.","Old BollywoodAlmost Daily","03","color_4","yellow","Sorrow"
"1586",69,"2022-10-21 12:54:18",34,"Brazil","male","yes","Piano(7 anos), Violão(20 anos) e Guitarra(15 anos)","no","Eu não tenho experiência com criação de música.","Hardcore, Rock, Rap, HipHop, Sertanejo e Pagode, todos os dias.","03","color_4","green","Sorrow"
"1587",105,"2022-10-21 14:42:31",23,"Sweden","male","yes","Piano, 8 years","yes","Electronic genres, mostly Drum ","EDM, IDM, Video game music, hip hop, classical","03","color_4","orange","Sorrow"
"1588",107,"2022-10-21 14:49:33",62,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Todos os tipos.Pagode, samba, sertaneja, MPB, bolero, forró, chorinho, etc...","03","color_4","green","Sorrow"
"1589",111,"2022-10-21 15:01:36",58,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Música popular brasileira, música erudita, músicas religiosas","03","color_4","green","Sorrow"
